URL,Domain,Anchor
http://www.hc-sc.gc.ca/hl-vs/reprod/hc-sc/legislation/index_e.html,hc-sc.gc.ca,AHR Assisted Human Reproduction - Health Canada
http://www.ornl.gov/hgmis/,ornl.gov,Human Genome Project - Official Web Site
http://www.nlm.nih.gov/medlineplus/genesandgenetherapy.html,nlm.nih.gov,Genes and Gene Therapy - Medlineplus
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=OMIM,ncbi.nlm.nih.gov,OMIMIM (On-line Mendelian Inheritance in Man) - Database of human genes and genetic disorders
http://www.anth.org/ifgene/sources.htm,anth.org,International Forum for Genetic Engineering - Selected Sites for Information on Biotechnology and Bioethics
http://stemcells.nih.gov/index.asp,stemcells.nih.gov,Stem Cell Research - National Institute of Health (U.S.)
http://beq.ebooksgratuits.com/pdf/index.htm,beq.ebooksgratuits.com,Collection Litt?rature qu?b?coise - from La Biblioth?que ?lectronique du Qu?bec
http://www.fsj.ualberta.ca/biblio/E-Texts/Honor%C3%A9%20Beaugrand/LACHASSE.RTF,fsj.ualberta.ca,La Chasse Galerie by Honor? Beaugrand - from Biblio-Virtu?lle at the University of Alberta
http://us.franceguide.com/,us.franceguide.com,French National Tourist Office
http://www.france-pub.com/,france-pub.com,FWP - Internet Gateway to France
http://cyberschoolbus.un.org/infonation/index.asp?id=250,cyberschoolbus.un.org,Information on France from the United Nations CyberSchoolBus
http://francophonie.ahibo.com/,francophonie.ahibo.com,LES ?TATS & GOUVERNEMENTS MEMBRES DE LA FRANCOPHONIE
http://www.virtualmuseum.ca/Exhibitions/Francophonie/home.htm,virtualmuseum.ca,In the Countries of the Francophonie
http://www.francophonie.org/,francophonie.org,Organisation internationale de la Francophonie
http://www.acjnet.org/nahome/default.aspx,acjnet.org,Canadian Access to Justice Network
http://legalresearch.org/,legalresearch.org,Best Guide to Canadian Legal Resources - hosted by UBC
http://www.canlii.org/en/index.php,canlii.org,CANLII - Canadian Legal Information Institute
http://www.solon.org/Constitutions/Canada/English/,solon.org,Canadian Constitutional Documents (a legal history)
Jurist%20Canada.html,jurist20canada.html,Jurist Canada: the legal education network
http://www.parl.gc.ca/,parl.gc.ca,Canadian Parliamentary Site
http://www.justice.gc.ca/,justice.gc.ca,Canadian Department of Justice
http://www.e-laws.gov.on.ca/navigation?file=home&lang=en,e-laws.gov.on.ca,"E-Laws, statutes and regulations of Ontario"
http://www2.parl.gc.ca/sites/lop/legisinfo/,www2.parl.gc.ca,LEGISINFO - legislation currently before parliament
http://www.attorneygeneral.jus.gov.on.ca/,attorneygeneral.jus.gov.on.ca,Ontario Ministry of the Attorney General
http://www.scc-csc.gc.ca/,scc-csc.gc.ca,Supreme Court of Canada - Homepage
http://www.lexum.umontreal.ca/index_en.php,lexum.umontreal.ca,Lexum - includes Supreme Court of Canada decisions
http://duhaime.org/,duhaime.org,Duhaime.org- legal Information maintained by Duhaime law firm
http://www.jstor.org/,jstor.org,JSTOR Database (ask for database passwords at the library)
http://infotrac.galegroup.com/itweb/ko_k12hs_d47,infotrac.galegroup.com,Gale Religion and Philosophy and Virtual Reference Databases
http://www.sacred-texts.com/,sacred-texts.com,Internet Sacred Text Archive
http://www.bbc.co.uk/religion/religions/,bbc.co.uk,BBC Religions
http://hirr.hartsem.edu/ency/index.htm,hirr.hartsem.edu,Encyclopedia of Religion (Hartford Inst.of Religious Research)
http://www.adherents.com/,adherents.com,Adherents.com - Statistics & Religious Geography Citations
http://www.religioustolerance.org/,religioustolerance.org,ReligiousTolerance.org
http://www.colonelby.com/home.htm,colonelby.com,
http://www.colonelby.com/home.htm,colonelby.com,
http://www.colonelby.com/home.htm,colonelby.com,
